# temperature = 270 K
# h0 = 2 km
# humidity = 20
# pressure = 560 mbar
# atmType = 1
# altitude = 5000 m
             0.500000000 1.000000000 2.000000000 3.000000000 4.000000000 5.000000000
16.400000000 0.995650024 0.995412437 0.994937435 0.994462659 0.993988109 0.993513786
16.500000000 0.995627258 0.995381995 0.994891651 0.994401548 0.993911687 0.993422067
16.600000000 0.995603068 0.995349755 0.994843322 0.994337147 0.993831230 0.993325570
16.700000000 0.995577923 0.995316161 0.994792842 0.994269798 0.993747030 0.993224536
16.800000000 0.995552110 0.995281471 0.994740412 0.994199648 0.993659178 0.993119001
16.900000000 0.995525512 0.995245538 0.994685827 0.994126430 0.993567348 0.993008581
17.000000000 0.995498180 0.995208382 0.994629039 0.994050034 0.993471365 0.992893034
17.100000000 0.995470094 0.995169946 0.994569923 0.993970261 0.993370961 0.992772022
17.200000000 0.995441275 0.995130214 0.994508383 0.993886941 0.993265887 0.992645221
17.300000000 0.995411665 0.995089083 0.994444234 0.993799803 0.993155789 0.992512193
17.400000000 0.995381206 0.995046452 0.994377282 0.993708562 0.993040291 0.992372470
17.500000000 0.995349856 0.995002227 0.994307333 0.993612924 0.992919000 0.992225561
17.600000000 0.995317553 0.994956291 0.994234160 0.993512553 0.992791470 0.992070911
17.700000000 0.995284256 0.994908543 0.994157542 0.993407107 0.992657240 0.991907938
17.800000000 0.995249895 0.994858846 0.994077210 0.993296188 0.992515780 0.991735984
17.900000000 0.995214442 0.994807101 0.993992920 0.993179405 0.992366556 0.991554372
18.000000000 0.995177714 0.994753044 0.993904249 0.993056178 0.992208830 0.991362206
18.100000000 0.995139700 0.994696577 0.993810924 0.992926059 0.992041982 0.991158692
18.200000000 0.995100278 0.994637481 0.993712532 0.992788444 0.991865215 0.990942845
18.300000000 0.995059338 0.994575538 0.993608645 0.992642692 0.991677678 0.990713602
18.400000000 0.995016761 0.994510513 0.993498790 0.992488097 0.991478432 0.990469794
18.500000000 0.994972411 0.994442138 0.993382442 0.992323875 0.991266436 0.990210123
18.600000000 0.994926132 0.994370115 0.993259012 0.992149152 0.991040531 0.989933150
18.700000000 0.994877717 0.994294074 0.993127816 0.991962926 0.990799402 0.989637243
18.800000000 0.994827036 0.994213710 0.992988192 0.991764184 0.990541686 0.989320694
18.900000000 0.994774136 0.994128871 0.992839597 0.991551995 0.990266063 0.988981799
19.000000000 0.994718465 0.994038788 0.992680827 0.991324720 0.989970467 0.988618063
19.100000000 0.994659718 0.993942911 0.992510846 0.991080844 0.989652903 0.988227019
19.200000000 0.994597973 0.993841048 0.992328924 0.990819101 0.989311575 0.987806343
19.300000000 0.994532637 0.993732302 0.992133564 0.990537399 0.988943801 0.987352767
19.400000000 0.994463597 0.993616227 0.991923652 0.990233960 0.988547146 0.986863206
19.500000000 0.994390263 0.993491856 0.991697477 0.989906339 0.988118437 0.986333763
19.600000000 0.994312272 0.993358411 0.991453435 0.989552111 0.987654434 0.985760396
19.700000000 0.994229168 0.993214972 0.991189684 0.989168526 0.987151489 0.985138565
